	gpt4o	gemini	claude	gold
247	SADNESS,LOVE	SADNESS, LOVE	"SADNESS,LOVE

This stanza evokes a deep sense of sadness as it describes a funeral procession for a beloved emperor. The imagery of the dark coffin, the tolling bells, and the weeping crowds convey a profound feeling of loss and mourning. At the same time, there's an undercurrent of love and reverence for the deceased emperor, expressed through the massive crowds gathering to pay their last respects, the regal procession, and the personal memories of a soldier who wishes to kneel before the emperor one last time. The mixture of grief and affection creates a poignant atmosphere that combines both sadness and love."	AGITATION,FEAR,JOY,LOVE,SADNESS
248	JOY	JOY	"JOY,SURPRISE

The stanza conveys a sense of exhilaration and wonder as it describes a spirit's ascent from the smallest atom, up through the levels of existence, to the sun's stream and beyond. This upward journey and expansive movement evoke feelings of joy and surprise at the vastness and potential of the universe and the spirit's ability to explore it."	NONE
249	LOVE, SADNESS	LOVE	"LOVE, SADNESS

This stanza primarily expresses a mixture of love and sadness. The speaker longs for a distant, exotic love, represented by the addressed person, while simultaneously feeling a melancholic attachment to their own homeland. The imagery of seeking warmth in a foreign heart and the desire to escape the cold, harsh North conveys both a yearning for love and a deep sadness associated with the speaker's native land and its people."	ANGER,JOY,LOVE,SADNESS
250	SADNESS	SADNESS, ANGER	"SADNESS,ANGER

The stanza conveys a deep sense of sadness through the lack of love experienced by the speaker, as indicated by the line ""Und nie klang mir das deutsche Wort: ich liebe dich!"" (And never did I hear the German words: I love you!). This absence of affection contributes to an overall tone of melancholy and loneliness.

Additionally, there's an undercurrent of anger or bitterness in the stanza. This is evident in the description of the ""grundlos eiteln Stirnen"" (groundlessly vain foreheads) and particularly in the last line where the woman maliciously yawns at the speaker, saying ""ich betrübe dich"" (I sadden you). This interaction suggests a feeling of resentment or frustration, adding an element of anger to the predominant sadness."	ANGER,JOY,LOVE,SADNESS
251	LOVE	LOVE	LOVE	LOVE
252	SADNESS	SADNESS	"SADNESS,JOY

This stanza represents a complex mix of emotions, primarily SADNESS and JOY. The imagery of the singer pouring out their ""heart's blood"" melodically into their songs suggests a deep, melancholic sacrifice (SADNESS). However, the mention of being ""joyfully victorious"" (siegesfreudig) as Aidoneus (a name for Hades) draws them down into his silent house indicates a paradoxical sense of triumph or fulfillment in this ultimate act of artistic self-sacrifice (JOY). The juxtaposition of these emotions creates a bittersweet tone that captures the essence of the poet's struggle and ultimate fate."	AGITATION,JOY,LOVE
253	LOVE	LOVE	"LOVE,SADNESS

The stanza primarily conveys emotions of love and sadness. It speaks of the value of a heart, even if it's not devoted to you, emphasizing the preciousness of love and emotional connections. The mention of ""Weh"" (pain) and ""Wahn"" (delusion) suggests a melancholic undertone, hinting at the sadness that can accompany love. The advice to cherish a heart that loves you, regardless of how it does so, further reinforces these intertwined emotions of love and sadness."	ANGER,JOY,LOVE,SADNESS
254	SADNESS,ANGER,JOY,LOVE	JOY, LOVE	"JOY,LOVE,SURPRISE

This stanza represents a dramatic shift from the earlier parts of the poem. It portrays a sudden transformation from despair to hope and joy. The appearance of the ""Heilandsgestalt"" (savior figure) who speaks words of comfort and promise evokes feelings of joy and love. The unexpected change in the landscape and the promise of a better future also convey a sense of surprise. The emotions of sadness and despair from earlier in the poem are replaced by these more positive emotions in this final stanza."	ANGER,JOY,LOVE,SADNESS
255	JOY,LOVE	LOVE	"LOVE,SADNESS

This stanza represents a complex mix of emotions, primarily LOVE and SADNESS. The poem speaks of love's power and the need for fortune's favor when one is ruled by love. It also touches on the deeper meaning of life revealed through misfortune and suffering, which evokes a sense of sadness. While there are mentions of joy (through Bacchus) and anger (Neptune learning to forget revenge), these are not the dominant emotions of the stanza. The overall tone is one of longing for love and fortune's favor, tinged with melancholy reflections on life's meaning through hardship."	ANGER,JOY,LOVE,SADNESS
256	JOY,FEAR	FEAR, JOY	"JOY,FEAR

This stanza represents a mix of FEAR and JOY. The lark is initially frightened (""aufgeschreckt"") and flees from its nest, showing FEAR. However, the stanza ends with the bird singing joyfully (""Lobsingt sie froh"") despite being exposed, indicating a transition to JOY. The contrast between the initial fear and the eventual joyful singing captures both emotions within the stanza."	FEAR,JOY
257	ANGER	ANGER	"ANGER,FEAR

The stanza portrays a tense confrontation between authority figures (the Amtmann and priest) and the local people. The Amtmann's aggressive tone and swelling vein indicate anger, while the priest's whispering and hiding behind the armored man suggest fear. The repetition of the defiant phrase ""Lewwer duad üs Slaav"" (Better dead than slave) also implies a mix of anger at oppression and fear of the consequences of resistance."	ANGER
258	ANGER	ANGER	"ANGER

This stanza represents a strong sense of righteous anger and defiance against oppression. The imagery of weapons (""Säbel, Schwert und Spieß"") given by God to man, along with the mention of ""Zorn der freien Rede"" (anger of free speech) and the willingness to fight to the death, all convey a powerful sense of anger against those who would try to enslave or subjugate others."	ANGER
259	FEAR,SURPRISE	SURPRISE,FEAR	"SURPRISE,LOVE

The stanza represents a mixture of surprise and love. The girl's sudden reaction of covering the speaker's mouth and embracing his head shows surprise at his revelation. The intimate gesture and her playful admonition also suggest an underlying feeling of love or affection between the characters."	ANGER,FEAR
260	FEAR	FEAR, JOY	"FEAR,SADNESS,JOY

This stanza represents a complex mix of emotions. The imagery of sinking into ice-swept nights and death reaching out its arms below evokes FEAR and SADNESS. However, the final line introduces a contrasting element of vitality and energy with ""springender Hufen und Leiber und sonnhafter Prächte und Mächte"" (leaping hooves and bodies and sun-filled splendors and powers), which suggests a sudden burst of JOY or exhilaration amidst the darker emotions."	NONE
261	ANGER, SADNESS	ANGER	"ANGER,FEAR

This stanza represents a call to war and destruction, with imagery of a red rooster (symbolizing fire) flying over castles and urging for fields to be left barren. Given the context of the peasant war and the oppression mentioned in the preceding stanzas, this evokes a sense of anger against the ruling class and fear of the impending conflict and its consequences."	ANGER
262	LOVE,SADNESS	LOVE, SADNESS	"LOVE, SADNESS

This stanza evokes a mixture of love and sadness. The imagery of hearing a lute sing in a May night, awakening to love ""in pain"" (In Schmerzen erwacht), and being given longing or yearning (Sehnsucht) suggests a bittersweet experience of love tinged with sadness. The repeated refrain about the ""black rose lute"" singing both sweetly and anxiously (jesussüß, so erosbang) further reinforces this combination of love and melancholy."	JOY,LOVE,SADNESS
263	SADNESS	ANGER, SADNESS	"SADNESS

This stanza represents a shift in the speaker's perspective, indicating a sense of regret or melancholy for their past dismissive attitude towards finding solace in others' suffering. The mention of tears brought by fate (""Thränen Das Schicksal"") suggests a personal experience of sorrow that has changed their viewpoint, evoking a feeling of sadness."	ANGER,JOY,SADNESS
264	FEAR,SADNESS	ANGER, FEAR, SADNESS	SADNESS,FEAR	FEAR,SADNESS
265	FEAR	LOVE, SURPRISE	"JOY,LOVE

The stanza expresses a combination of joy and love. It conveys excitement and enthusiasm for adventure on the open sea, urging someone to come quickly. The imagery of the ferry dancing in the harbor mist and the exclamations ""hinauf! hinaus!"" (up! out!) suggest a joyful anticipation. The warmth mentioned (""Es peitscht dich warm!"") and the urgent call to come quickly imply a passionate, loving desire to be together in this exhilarating moment."	AGITATION,FEAR,JOY,LOVE
266	JOY,LOVE	JOY	"JOY,LOVE

The stanza represents a joyful and loving attitude towards life, expressing readiness to embrace pleasure, camaraderie, and youthful enthusiasm. The speaker shows no remorse for their actions and celebrates the virtues of love, conviviality, and the spirit of youth. The overall tone is positive and life-affirming, combining elements of both joy and love."	JOY,LOVE,SADNESS
267	JOY	JOY	"JOY

This stanza represents a sense of joy and optimism. It speaks of a rich, full life ahead, wisdom gained, and a magical ability to overcome baseness. The imagery of blue days, worlds at one's feet, and a path leading upwards ""high above all the world"" conveys a feeling of elation and joy in life's possibilities and personal growth."	JOY,SADNESS
268	FEAR,SURPRISE	FEAR, SURPRISE	"FEAR,SURPRISE

This stanza evokes a sense of FEAR and SURPRISE as it describes the mysterious and sometimes alarming workings of nature. The mention of ""Schrecken"" (terrors) and the questions about unseen phenomena like buds opening and storms brewing create an atmosphere of uncertainty and potential danger. The imagery of veils lifting at night adds to the feeling of SURPRISE, as if secrets are being revealed in unexpected moments."	FEAR
269	JOY,LOVE	LOVE, JOY	"LOVE,JOY

The stanza represents a mix of love and joy. The speaker feels a sense of recovery (""Genesung"") flowing through their veins after nights of suffering. This recovery brings joy. Additionally, the speaker's heart imagines that the person they love has thought of them, even if by chance, but with a favorable disposition. This imagined connection with the loved one represents love and contributes to the speaker's positive emotions."	LOVE,SADNESS
270	SADNESS	SADNESS	"SADNESS,JOY

The stanza represents a mixture of sadness and joy. The sailor's joyful return home after a successful harvest is contrasted with the speaker's inability to return home due to having harvested more sorrow than goods. This juxtaposition creates a bittersweet emotion, combining the joy of homecoming with the sadness of being unable to experience it."	SADNESS
271	LOVE,SADNESS	LOVE	"JOY,LOVE

The stanza evokes a sense of nostalgia and deep affection for a German cityscape, with moonlight shining on gabled roofs. The poet expresses being consistently moved by this sight, suggesting a profound emotional connection to the scene. This combination of fondness for the familiar and the stirring of emotions aligns with both JOY and LOVE for one's homeland and its beauty."	AGITATION
272	SADNESS,FEAR	ANGER, FEAR	"SADNESS,FEAR

This stanza expresses a mix of sadness and fear. The speaker is questioning their faith and relationship with God, showing doubt and uncertainty which can be associated with fear. The tone of disappointment and the rhetorical question at the end (""Und was gabst du mir dafür?"" - ""And what did you give me for it?"") suggest a sense of sadness or melancholy about the perceived lack of divine response to their faithfulness."	FEAR
273	NONE	JOY	"SURPRISE,JOY

The stanza depicts a moment of unexpected revelation and awe, as Widukind, a heathen, enters the cathedral in Aachen. The colorful stained glass windows and gentle songs breaking into his mind and heart suggest a sudden, transformative experience. This aligns with feelings of surprise at the new sensory and spiritual encounter, coupled with joy at the beauty and profound impact of the moment."	AGITATION,JOY
274	LOVE, SADNESS	LOVE	"LOVE,SADNESS

This stanza represents a mix of LOVE and SADNESS. It acknowledges the harsh reality of the world's mockery and scorn, which evokes a sense of sadness. However, it also offers comfort and hope through love and divine presence, emphasizing that love and God are on their side, which represents the emotion of love."	AGITATION,ANGER,SADNESS
275	FEAR,SADNESS	SADNESS, FEAR, ANGER	"FEAR,SADNESS

This stanza conveys a strong sense of fear and sadness. The soldiers are in a desperate situation, having lost their flag (a symbol of their unit and honor) and facing severe losses. The fear is evident in the descriptions of the night, horror, and the trembling hearts. The sadness is apparent in the realization that those sent to retrieve the flag did not return and are all dead. The final plea to God also suggests a mix of fear and sadness as they wonder if they've been abandoned in their dire circumstances."	ANGER
276	NONE	NONE	"NONE

The provided information doesn't include any stanza or poem text, only the title ""Die Harfe"" and the author ""Dehmel, Richard."" Without any actual content to analyze, it's not possible to identify any emotions represented. Therefore, the answer is NONE."	NONE
277	SADNESS	JOY	"SADNESS

This stanza conveys a sense of melancholy and longing, reflecting on the absence of emotional depth and connection. It speaks of those who don't experience tears, nightly yearnings, or quickened pulses, and who don't mourn the passing of spring. While the tone is somewhat ironic in calling such a state ""happy,"" the overall sentiment is one of sadness for a life lived without deep feelings or attachments."	JOY,LOVE,SADNESS
278	JOY	JOY, LOVE	"JOY

This stanza expresses a sense of contentment and happiness within the home, contrasting it with the negative emotions and circumstances outside. The phrases ""froh und frei"" (happy and free) and ""stiller Seligkeit"" (quiet bliss) clearly indicate a feeling of joy and peace within the domestic sphere, despite the troubles in the outside world."	ANGER,JOY
279	NONE	I need the stanza to be able to analyze it for emotions. Please provide the stanza.	"NONE

The given text appears to be only a title ""Der Wind"" (The Wind) and an author's name ""Sallet, Friedrich von"". Without any actual stanza or poetic content provided, it's not possible to identify any emotional representation. Therefore, the answer is NONE."	NONE
280	LOVE, SADNESS	LOVE	"LOVE,SADNESS,JOY

The stanza represents a mix of emotions:

LOVE: The mention of ""Liebe"" (love) being with them and God indicates a strong presence of love.

SADNESS: The reference to drying tears suggests an underlying sadness that is being overcome.

JOY: There's a sense of joy and hope in the face of adversity, as they have love and God on their side despite the world's mockery."	AGITATION,ANGER,SADNESS
281	LOVE,FEAR	LOVE, FEAR	"LOVE,SURPRISE

This stanza represents a mix of love and surprise. It describes a gradual, intense attraction between two people, with the subject feeling drawn closer, their heart beating faster (""Höher schlugen, immer höher deines Busens keusche Wogen""). There's an element of surprise in the inability to resist this attraction (""Wolltest schmählen, wolltest flüchten, ach, und konntest dich nicht wenden""), culminating in a surrender to the emotion (""Bis du in den Arm mir sankest""). The overall tone is one of passionate love mixed with the surprise of being overwhelmed by these feelings."	ANGER,FEAR,LOVE,SADNESS
282	SADNESS,ANGER	ANGER, SADNESS	"SADNESS,ANGER

The stanza represents a stark contrast between past joy and present despair, with the speaker expressing deep sadness over the loss of their previous exuberance. The language used, such as ""so todt und so fahl"" (so dead and so pale) and ""Titanenqual"" (Titan's agony), conveys intense sorrow. Additionally, there's an element of anger present, particularly in the line ""Als sollte die Welt ich nun hassen"" (As if I should now hate the world), suggesting a resentful response to the drastic change in circumstances."	ANGER,JOY
283	FEAR,SADNESS	FEAR, SADNESS	"SADNESS,FEAR

The stanza conveys a sense of mortality and the fragility of human existence, evoking both sadness at the inevitability of death and fear of its sudden, unexpected arrival. The imagery of decay (""Zerfallen wirst du und verwehn"") and the possibility of death coming swiftly (""Vielleicht schon heute"") contribute to these emotions, especially when contrasted with the preceding stanzas that describe the enduring nature of celestial bodies."	NONE
284	JOY,FEAR	JOY, FEAR, SURPRISE	"JOY,LOVE,SURPRISE

This stanza represents a mix of emotions, primarily joy and love with an element of surprise. The woman's reaction to the man's entrance is described as ""Halb Wonne"" (half bliss/delight), indicating joy and love. The element of surprise is evident in ""halb Erschrecken"" (half startled/frightened), but this doesn't fully qualify as fear in the context. The last two lines suggest she has something to reveal to him, which she can no longer hide, implying a positive emotional state associated with love and joy."	FEAR,JOY,LOVE,SADNESS
285	SADNESS	SADNESS	SADNESS	NONE
286	JOY,LOVE	JOY, LOVE	"JOY,LOVE

The stanza conveys a sense of joy and love through its description of a beautiful, natural scene. The nightingale finishing its most beautiful song and the red rose blooming in the sacred morning hour create an atmosphere of beauty, wonder, and renewal. These elements typically evoke feelings of joy and can also be associated with love, especially in the context of romantic poetry."	NONE
287	ANGER,SADNESS	ANGER, SADNESS	"ANGER,SADNESS

The stanza conveys a strong sense of anger and sadness. The speaker expresses intense emotions in response to witnessing suffering and destruction of joy. The use of words like ""qualempört"" (indignantly agonized) and phrases like ""schlage, daß der Busch erschrickt"" (I strike so that the bush is frightened) indicate anger. At the same time, the exclamations of ""Weh"" (woe) and references to ""Elend"" (misery) and ""Not"" (distress) evoke a feeling of sadness in response to the observed suffering."	FEAR,SADNESS
288	SADNESS	SADNESS, FEAR	"SADNESS,FEAR

This stanza continues the theme of deep sorrow and despair present in the earlier parts of the poem. The mention of ""herbste Leid"" (bitterest sorrow) and ""entsagen"" (renounce) clearly indicates SADNESS. The element of FEAR is introduced with the idea of cursing the hour when memories float by, suggesting a dread of confronting past experiences and emotions."	ANGER,FEAR,SADNESS
289	LOVE,SURPRISE	FEAR,SURPRISE	"LOVE,SURPRISE

The stanza evokes a sense of love and surprise. The gentle falling of snowflakes reminds the speaker of a significant moment when their loved one entered their house, causing them to tremble with emotion. The speaker's realization that something wondrous was happening suggests a mixture of love and surprise at the importance of this encounter."	AGITATION,FEAR
290	FEAR,SURPRISE	SURPRISE,FEAR	"SURPRISE,FEAR

This stanza represents a mix of surprise and fear. The girl's sudden reaction (""Da fuhr sie auf erschrocken"") indicates surprise at the poet's words. The way she quickly covers his mouth and exclaims ""Pfui!"" suggests fear or alarm about what he might say, especially her plea to not tell her mother. These reactions combine to create a sense of startled surprise mixed with fear of potential consequences."	ANGER,FEAR
291	JOY,LOVE	JOY, LOVE	"JOY,LOVE

The stanza expresses feelings of joy and love as the speaker describes their precious child, describing them as pure and innocent. The act of cradling the child brings the speaker a sense of peace and happiness, freeing them from any resentment or anger. This portrayal of familial love and the happiness derived from it clearly represents both JOY and LOVE in the context of the poem's theme of domestic bliss."	ANGER,JOY,SADNESS
292	SADNESS	SADNESS	"SADNESS

This stanza conveys a deep sense of melancholy and disconnection. The imagery of days passing like boats, with life sitting coolly and silently within, suggests a feeling of detachment. The speaker's attempts to call out and wave go unnoticed, indicating a sense of isolation and helplessness. The final line, describing the speaker's own life gliding silently past, reinforces the overall tone of sadness and resignation."	AGITATION,SADNESS
293	FEAR,SADNESS,JOY	LOVE, SADNESS	"SADNESS,JOY

The stanza represents a mix of sadness and joy. The sadness is evident in the mention of ""stillen Thränen"" (silent tears) and the questioning of whether the narrator's longing was just a delusion. However, there's also a sense of joy and hope in the discovery of the ""schöne Perle"" (beautiful pearl) among earthly treasures, representing the culmination of the narrator's search and the fulfillment of their longing."	FEAR,JOY,LOVE,SADNESS
294	LOVE	LOVE	"LOVE

The stanza primarily represents the emotion of LOVE. It depicts the deep, enduring love of a mother for her child, emphasizing the mother's heart as a source of gentleness and a sacred place where love persists even in the face of a harsh world. The imagery of a mother holding her child and the description of maternal love's lasting nature strongly convey the emotion of love throughout the stanza."	AGITATION,JOY,LOVE
295	FEAR	FEAR	"FEAR

The stanza vividly depicts anxiety and fear through imagery of tightly closed lips, short breaths, and the comparison to trembling leaves on frightened ornamental shrubs. The direct mention of ""Angst"" (fear/anxiety) further reinforces this emotion."	FEAR
296	SADNESS	SADNESS	"SADNESS

This stanza depicts a scene of quiet sorrow and loneliness. The uncle, previously described as jolly and generous, is now sitting silently by the window all night. He wipes his eyes, suggesting he's been crying, and his heart is heavy. The nightingales singing and the moon's beauty contrast with his internal state, emphasizing his sadness. The repetition of ""der gute, alte"" (the good, old) uncle at the end now seems tinged with irony or pity, further underlining the sadness of his situation."	AGITATION
297	ANGER	ANGER	ANGER	ANGER
298	JOY,LOVE	JOY	"JOY,FEAR

This stanza represents a mix of joy and fear. The joy is evident in the celebratory tone, drinking, and singing, with phrases like ""Trinkt! wir schweben über dem Leben"" (Drink! We float above life). However, there's an undercurrent of fear or unease with the mention of the black rider, the cracking bridge, and the repeated refrain about night approaching, which adds a sense of impending doom or finality to the revelry."	JOY
299	ANGER,FEAR	JOY	"FEAR,ANGER

This stanza represents a mix of fear and anger. The imagery of bowing branches with ""anxious groans"" (Angstgestöhn) evokes fear, while the references to a ""world conqueror's voice"" and ""immortal battles"" against tyrants and slaves suggest anger and a call to action against oppression. The overall tone is one of trepidation mixed with a fierce desire to join the storm in its powerful, destructive force."	ANGER,FEAR,LOVE
300	ANGER	ANGER	"ANGER

The stanza expresses strong feelings of contempt and hatred towards those who mock art and only value material things, which aligns closely with the emotion of anger."	ANGER
301	SADNESS	FEAR, SADNESS	"SADNESS,FEAR

The stanza conveys a sense of melancholy and longing (SADNESS) as the speaker waits for the ""treue Alte"" (faithful old woman) to come. There's also an underlying tone of anxiety or unease (FEAR) about the light that ""leise singt"" (softly sings) above, which the speaker wishes to be taken away."	FEAR,SADNESS
302	JOY	JOY	"JOY,SURPRISE

The stanza represents a sudden and dramatic change in the weather, with lightning, rain, and storm. The use of words like ""jauchzt"" (rejoices) and ""Erlösend"" (liberating) suggests a sense of joy and relief at the arrival of the storm after the oppressive heat described in the previous stanzas. The suddenness of the change and the vivid imagery also evoke a sense of surprise. Therefore, the emotions represented in this stanza are JOY and SURPRISE."	JOY
303	SADNESS	SADNESS	"SADNESS

The stanza reflects a sense of melancholy and loss, as the speaker's thoughts cannot go back, and they've seen happiness turn away. This sentiment, especially in the context of the preceding stanzas which mention sorrow and graves, strongly indicates a feeling of sadness."	FEAR,JOY
304	SADNESS,FEAR	SADNESS	"SADNESS,FEAR

The stanza evokes a strong sense of melancholy and homesickness, which aligns with SADNESS. The imagery of passing by one's hometown on a ship, seeing familiar sights and childhood memories, creates a poignant feeling of loss and longing. The phrase ""namenloses Heimweh"" (nameless homesickness) directly expresses this sadness.

FEAR is also present, though more subtly. The description of the child's eyes as ""ängstlich"" (anxious) and wanting to cry suggests a sense of fear or unease about leaving the familiar behind. The vastness of the sea and the ""fremdgeformten"" (strangely shaped) sails contribute to a feeling of uncertainty and trepidation about the unknown future."	FEAR,LOVE,SADNESS
305	FEAR,SADNESS	SURPRISE, JOY	"SADNESS,SURPRISE

This stanza evokes a sense of SADNESS as it describes the complete destruction of an advanced civilization and the loss of all its achievements. The imagery of death and annihilation is powerful and melancholic.

At the same time, there's an element of SURPRISE in the final part of the stanza. The sudden shift to an astronomer discovering a ""new star"" years later creates a stark contrast and an unexpected twist, highlighting the cosmic indifference to the catastrophe that occurred."	FEAR,JOY,SADNESS
306	LOVE,SADNESS	LOVE, SADNESS	"LOVE,SADNESS

The stanza conveys a mix of love and sadness. The intimate and sensual language, especially in lines like ""Meine Glieder suchen sich"" (My limbs seek each other) and ""Meine Glieder kosen sich"" (My limbs caress each other), suggests love or deep connection. However, there's also a pervasive sense of melancholy and loneliness, evident in phrases like ""Fetzen ertrinken in Einsamkeit"" (Shreds drown in loneliness) and the repeated sinking and drowning imagery. The juxtaposition of intimacy with isolation and immeasurability creates a bittersweet atmosphere that combines love with sadness."	AGITATION,LOVE,SADNESS
307	SADNESS	SADNESS	"SADNESS

The stanza conveys a sense of despair and resignation, reflecting the difficult circumstances of the family with a sick breadwinner who can no longer work or recover. The tone is one of hopelessness and weariness, which aligns most closely with the emotion of sadness."	JOY,SADNESS
308	JOY	JOY	"JOY

This stanza continues the lighthearted, playful tone of the previous one, expressing delight in observing the beauty and graceful movements of butterflies and dragonflies. The poet encourages these creatures to show their splendor and describes being enchanted by their flight, as if in a magical circle. This conveys a sense of wonder and happiness, aligning with the emotion of JOY."	JOY,LOVE
309	FEAR,SADNESS	LOVE, FEAR, SURPRISE	"SADNESS,LOVE,SURPRISE

The stanza expresses a mix of emotions. There's a sense of sadness as the speaker reminisces about a past love and wonders about their current state. Love is evident in the lingering feelings and memories that suddenly resurface. Surprise is present in the unexpected nature of these thoughts and emotions coming to the speaker ""urplötzlich"" (suddenly) while in a social setting. The questioning tone and the shocking possibility of the loved one's death also contribute to the element of surprise."	AGITATION,FEAR,JOY,LOVE
310	JOY, LOVE	JOY, LOVE	"JOY,LOVE

The stanza represents a blend of joy and love. The imagery of golden shimmer over the lake and the fairy tale-like greeting between a fairy and a prince evokes a sense of wonder and happiness. The act of greeting and the magical atmosphere suggests affection and love, while the beautiful scenery and fantastical elements contribute to a joyful mood."	NONE
311	LOVE,SADNESS	LOVE, SADNESS	"LOVE,SADNESS

The stanza expresses a complex mix of emotions, primarily love and sadness. The speaker describes the sweetness of the addressed person's greeting and the depth of their eyes, indicating a strong affection (LOVE). However, this is immediately followed by lament over not being able to be with this person, expressing deep sorrow (SADNESS). The conflict between wanting to see the person again and wishing to be far away further emphasizes this bittersweet combination of love and sadness."	LOVE,SADNESS
312	LOVE	NONE	LOVE	NONE
313	SADNESS	SADNESS	"SADNESS

This stanza appears to convey a sense of sadness or melancholy. The phrase ""O sage nicht"" (Oh, do not say) followed by a reference to deep wounds suggests a reluctance to acknowledge or speak about painful experiences, which is often associated with sadness or grief."	NONE
314	JOY, LOVE	JOY, LOVE	"JOY,LOVE

This stanza expresses a sense of joy and love for the ""edle Gabe"" (noble gift) or ""Kleinod"" (jewel) that the speaker has acquired. The speaker willingly gives up all worldly possessions for this treasure, suggesting a deep love and joy for what it represents. The dismissal of earthly riches in favor of this spiritual or emotional treasure indicates a profound happiness and attachment to the newly found gift."	FEAR,JOY,SADNESS
315	SADNESS,FEAR	FEAR, SADNESS	"SADNESS,FEAR

This stanza represents a somber encounter between death and a young girl, evoking feelings of sadness for the loss of youth and fear in the face of mortality. The sudden paleness and the phrase ""hatte genung"" (had enough) suggest a tragic and abrupt end, which aligns with both sadness and the fear associated with death."	FEAR
316	JOY,LOVE	JOY, LOVE	"JOY,SURPRISE

The stanza represents a transition from fear and mortality to a sense of transcendence and joy. The speaker feels their mortality being lifted away, and their soul is celebrating in its ""starry dress."" This sudden transformation from earthly concerns to a state of spiritual elation conveys both joy and surprise at the unexpected liberation from mortal constraints."	FEAR,JOY
317	LOVE,SADNESS	LOVE	"LOVE,SADNESS

This stanza represents a mix of love and sadness. The overall tone is one of passionate love, with phrases like ""In deine Arme laß mich sinken"" (Let me sink into your arms) and ""In deiner Liebe laß mich ertrinken"" (Let me drown in your love). These express a deep desire for closeness and intimacy.

However, there's also an underlying current of sadness or melancholy. The night is described as ""bange"" (anxious), and there are references to ""verblassendem Leide"" (fading sorrow) and ""letztes Geschick"" (last fate), suggesting a bittersweet quality to the love being expressed. The desire for silence at the end also hints at a somber mood alongside the passionate love."	AGITATION,FEAR,JOY,LOVE,SADNESS
318	FEAR,LOVE	LOVE, FEAR, SADNESS	"JOY,LOVE,SURPRISE

The stanza expresses a mix of emotions, primarily centered around the wonder and uncertainty of a child's future. The poet's deep feelings when observing a child (""Da faßt ein Sturm mich von Gefühl"") suggest a combination of joy and love for the innocent, new life. The element of surprise is present in the poet's contemplation of the child's unknown future and the many possibilities it holds. While there are hints of concern for the child's future, the overall tone is one of awe and affection rather than fear or sadness."	AGITATION,FEAR,JOY,LOVE,SADNESS
319	SURPRISE	SURPRISE	"SURPRISE

The stanza represents a moment of surprise as the Bishop, unwittingly reading from the altered text, sings ""Pro mulis et mulabus"" (For mules and she-mules) instead of the correct ""Pro famulis et famulabus"" (For male and female servants). This unexpected and humorous twist in the solemn context of a funeral mass captures the emotion of surprise."	NONE
320	LOVE	LOVE	"LOVE,JOY

The stanza portrays a sense of romantic love and joyful anticipation. The trembling heart, dreamy countenance, and the silvery moonlight create an atmosphere of tender emotions and blissful feelings associated with love and joy."	AGITATION,LOVE
321	LOVE,FEAR	LOVE, FEAR	"LOVE,FEAR

The stanza represents both love and fear. It depicts lovers rushing to embrace passionately (""heisser Brust an Brust zu drücken"") and exchanging souls through passionate kisses (""tauscht im Kusse lechzend Seel um Seele""), which clearly represents LOVE. At the same time, there's an underlying FEAR that the sweet darkness will soon be gone (""In Furcht, dass bald das süsse Dunkel fehle""), creating a sense of urgency in their loving actions."	AGITATION,FEAR,LOVE
322	FEAR	ANGER, FEAR	"JOY,FEAR

The stanza represents a mix of emotions, primarily JOY and FEAR. The first part suggests a sense of joy or contentment in the quiet enjoyment of young love. However, the latter part introduces an element of fear or apprehension as the dawn approaches, with the horn sounding to startle those who feel secure, and the day bringing potential danger."	FEAR,JOY
323	ANGER,FEAR	ANGER, FEAR	"ANGER,FEAR

This stanza represents a complex mix of emotions, but the two most prominent are anger and fear. The anger is evident in the witch's resentment towards those who are ungrateful for her help and threaten her with death. The fear is apparent in her desire for protection, her use of darkness and terror as weapons, and her knowledge of dangerous powers. These emotions are intertwined throughout the stanza, reflecting the witch's conflicted state and her defensive posture against those who misunderstand and threaten her."	ANGER,FEAR,JOY,LOVE,SADNESS
324	LOVE,SADNESS	LOVE, SADNESS	"SADNESS,LOVE

This stanza expresses deep sadness and regret, as well as enduring love. The speaker acknowledges anger from the other person (""Zwar zürnst du mir""), but returns repeatedly with a repentant heart (""Mit reuigem Gemüth""). There's a sense of sorrow for past mistakes and a plea for forgiveness, combined with a continuing devotion and desire for the other's affection (""Nur Einen Strahl der Güte sende nieder!"")."	ANGER,SADNESS
325	FEAR,SADNESS	LOVE, SADNESS	"LOVE,SADNESS

This stanza expresses a complex mix of emotions, primarily love and sadness. The ""Bangen und Sehnen"" (anxiety and longing) suggests a bittersweet feeling associated with love, particularly when remembering past joys. The doubt and uncertainty (""Zweifel beklommen"") along with the idea of an echo of past pleasure (""Echo verrauschter Lust"") from far away indicates a melancholic sadness for what has been lost or is now distant."	FEAR,JOY,LOVE
326	JOY	LOVE, JOY	"JOY,LOVE

This stanza represents a mix of joy and love. The lute is playing triumphant, victorious melodies (""siegesfrischen Weisen""), which suggests joy and celebration. Meanwhile, the context of the entire poem revolves around a romantic competition and courtship, with this stanza depicting the lute's successful serenade, implying love. The horn, hiding in the bushes and listening, adds a subtle element of rivalry in love, further emphasizing the love theme."	AGITATION
